Process ID, Service Time, Turn Around Time
1,80,85
2,17,107
3,40,151
4,29,183
5,95,282
6,48,335
7,22,362
8,24,390
9,20,414
10,60,478
11,42,524
12,23,552
13,103,659
14,23,686
15,95,780
16,105,889
17,41,933
18,35,972
19,37,1014
20,5,1021
21,50,1076
22,12,1093
23,47,1135
24,6,1145
25,91,1240
26,68,1310
27,4,1639
28,17,1329
29,152,1483
30,63,1551
31,77,1630
32,14,1657
33,79,1738
34,43,1784
35,13,1802
36,97,1900
37,44,1945
38,76,2023
39,37,2153
40,87,2111
41,18,2173
42,21,2197
43,42,2242
44,11,2255
45,31,2269
46,55,2322
47,41,2359
48,18,2381
49,26,2313
50,37,2313
