Process ID, Service Time, Turn Around Time
1,80,3321
2,17,757
3,40,2389
4,29,1436
5,95,3444
6,48,2414
7,22,1472
8,24,1480
9,20,1484
10,60,2966
11,42,2432
12,23,1520
13,103,3520
14,23,1541
15,95,3457
16,105,3522
17,41,2472
18,35,2068
19,37,2080
20,5,267
21,50,2770
22,12,1011
23,47,2485
24,6,312
25,91,3459
26,68,3008
27,4,338
28,17,1050
29,152,3577
30,63,3025
31,77,3214
32,14,1097
33,79,3224
34,43,2563
35,13,1130
36,97,3464
37,44,2579
38,76,3237
39,37,2224
40,87,3370
41,18,1200
42,21,1769
43,42,2602
44,11,1229
45,31,2228
46,55,2831
47,41,2582
48,18,1248
49,26,1697
50,37,2112
